"uf","t_m10a17_filho","t_mchefe_fundin_fmenor","t_analf_15m","t_cdom_fundin","t_p15a24_nada","t_desocup18m","pea18m","t_carteira_18m","t_renda_trab","t_medioc_ocup18m"
"DF",3.07,17.97,5.68,29.2,8.69,15.93,979746,45.86,76.87,47.54
"GO",3.9,13.39,11.93,48.69,14.19,11.32,2193980,33.27,81.58,26.52
"MT",4.47,13.62,12.36,50.24,14.58,10.63,1053557,30.28,84.78,26.35
"MS",4.69,14.56,11.19,50.73,15.33,11.92,896084,34.43,81.6,28.86
"AL",4.3,19.17,33.39,70.33,25.5,16.63,980140,28.8,70.64,20.6
"BA",3.6,19.55,23.15,65.34,19.66,17.1,5066896,27.36,73.82,23.63
"CE",3.41,18.1,26.54,62.86,20.7,12.31,2696601,24.63,72,21.93
"MA",5.04,19.15,28.39,66.39,22.52,10.86,1923528,13.57,76.56,18.63
"PB",3.33,15.85,29.71,65.13,22.57,13.4,1268833,23.71,68.89,22.14
"PE",3.56,17.96,24.5,60.19,23.17,17.29,2968633,30.19,70.96,26.95
"PI",3.65,15.69,30.51,67.99,21.62,9.86,1022335,16.68,71.63,18.04
"RN",3.79,14.32,25.43,56.78,22.41,15.23,1007405,31.96,69.9,28.18
"SE",3.69,21.53,25.16,63.6,21.58,15.51,674454,30.11,72.28,22.85
"AC",6.76,23.49,24.49,61.94,22.22,11.08,192908,31.4,80.23,23
"AP",4.81,25.63,12.1,43.16,17.76,18.31,169277,32.07,81.61,32.48
"AM",5.76,22.57,15.5,55.87,23.29,18.44,988010,25.29,80.05,29.22
"PA",5.26,18.2,16.77,60.32,21.6,13.04,2175484,19.56,80.12,21.16
"RO",4.57,16.68,12.97,57.55,18.19,9.26,548808,26.64,86.67,20.73
"RR",5.72,21.49,13.49,44.98,15.58,13.2,127702,20,86.87,28.09
"TO",5.08,17.32,18.78,57.73,19.49,12.53,428156,20.21,83.09,23.19
"ES",3.13,14.09,11.67,46.36,14.11,11.95,1387622,35.47,76.75,29.44
"MG",2.54,13.99,11.96,49.81,15.02,12.54,7667934,38.99,75.25,27.97
"RJ",3.41,13.43,6.64,35.74,11.97,16.05,6436668,45.63,69.43,39.72
"SP",2.87,11.91,6.64,35.08,9.16,15.4,17087356,50.4,79.2,39.34
"PR",3.36,11.51,9.53,41.81,13.12,11.12,4278683,42.22,80.09,31.75
"RS",3.05,11.98,6.65,42.84,10.76,10.82,4813950,40.27,74.78,30.32
"SC",2.85,10,6.32,42.11,9.24,8.8,2457759,44.8,78.99,29.24
